,name,orig-name,params,succeeded,class,path,ts_amchi
125,C2H4 + IC3H7 = IC4H8 + CH3,C2H4 + IC3H7 = IC4H8 + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
129,CH + CH4 = C2H4 + H,CH + CH4 = C2H4 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
134,DC5H11 = C4H8-2 + CH3,DC5H11 = C4H8-2 + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
135,DC5H11 = AC5H10 + H,DC5H11 = AC5H10 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
137,C6H5C2H5 + H = C6H6 + C2H5,C6H5C2H5 + H = C6H6 + C2H5,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
138,CYC4H6-2-CH3 = C2H4 + C3H5-S,CYC4H6-2-CH3 = C2H4 + C3H5-S,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
141,C2H3 + C2H2 = C4H4 + H,C2H3 + C2H2 = C4H4 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
154,C5H11-2 = C4H8-1 + CH3,C5H11-2 = C4H8-1 + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
161,CYC3H3-1C2H5 + H = C2H3 + C3H6,CYC3H3-1C2H5 + H = C2H3 + C3H6,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
162,C5H8-1 + H = C2H3 + C3H6,C5H8-1 + H = C2H3 + C3H6,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
165,C4H8-2 + H = C3H6 + CH3,C4H8-2 + H = C3H6 + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
177,XC6D13 + H = B13DE2M + CH3,XC6D13 + H = B13DE2M + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
181,C3H5-A + C2H3 => C5H6 + H + H,C3H5-A + C2H3 => C5H6 + H + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
185,C5H8-1 + H = C4H6 + CH3,C5H8-1 + H = C4H6 + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
188,C4H3-N + H = C2H2 + H2CC,C4H3-N + H = C2H2 + H2CC,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
189,C5H6 + C2H3 = C6H6 + CH3,C5H6 + C2H3 = C6H6 + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
195,C5H8-1 + H = C5H81-3 + H,C5H8-1 + H = C5H81-3 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
197,NC3H7 + C3H5-T = C6H12-2,NC3H7 + C3H5-T = C6H12-2,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
198,CC5H10 + H = AC5H10 + H,CC5H10 + H = AC5H10 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
200,IC4H7-I1 + H = C3H5-T + CH3,IC4H7-I1 + H = C3H5-T + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
221,CH2CCHCH2CHCH2 => FULVENE + H + H,CH2CCHCH2CHCH2 => FULVENE + H + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
223,C3H5-S + H = C3H5-A + H,C3H5-S + H = C3H5-A + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
229,B13DE2MJ = C5H6 + H,B13DE2MJ = C5H6 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
230,CYC3H5CHCH3 = C4H6 + CH3,CYC3H5CHCH3 = C4H6 + CH3,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
233,C4H5-2 + C2H2 = C6H6 + H,C4H5-2 + C2H2 = C6H6 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
262,CYC3H4CHCH3 + H = C3H4-P + C2H5,CYC3H4CHCH3 + H = C3H4-P + C2H5,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
263,CYC3H5CHCH3 = C3H4-P + C2H5,CYC3H5CHCH3 = C3H4-P + C2H5,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
265,C4H8-1 + CH3 = BC5H10 + H,C4H8-1 + CH3 = BC5H10 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
268,C3H3 + CH3 = C4H6-2,C3H3 + CH3 = C4H6-2,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
269,C4H6 => C2H2 + C2H3 + H,C4H6 => C2H2 + C2H3 + H,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
273,C4H3-I + H = C2H2 + H2CC,C4H3-I + H = C2H2 + H2CC,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
277,B13DE2M + H = C2H3 + C3H6,B13DE2M + H = C2H3 + C3H6,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
278,CH2CYC3H3CH3 + H = C2H2 + NC3H7,CH2CYC3H3CH3 + H = C2H2 + NC3H7,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
281,CYC3H4CHCH3 + H = C2H4 + C3H5-A,CYC3H4CHCH3 + H = C2H4 + C3H5-A,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
282,C4H8-2 + H = PC4H9,C4H8-2 + H = PC4H9,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
