,name,orig-name,params,succeeded,class,path,ts_amchi
82,C6H11O14-3OOH => CH2CH2CHO + C2H5CHO + OH,C6H11O14-3OOH => CH2CH2CHO + C2H5CHO + OH,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
85,C7H121OOH5-7O2 = C7H121KET57 + OH,C7H121OOH5-7O2 = C7H121KET57 + OH,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
86,C7H15-1O => PC4H9 + C2H4 + CH2O,C7H15-1O => PC4H9 + C2H4 + CH2O,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
87,C6H11-3D1OOH => C5H91-3 + CH2O + OH,C6H11-3D1OOH => C5H91-3 + CH2O + OH,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
94,C7H13OH1-2 + OH => C2H5 + C2H3 + PC3H4OH-2 + H2O,C7H13OH1-2 + OH => C2H5 + C2H3 + PC3H4OH-2 + H2O,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
101,C5H11-3 + CH3O2 = C5H11O-3 + CH3O,C5H11-3 + CH3O2 = C5H11O-3 + CH3O,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
103,NC3H7O2 + IC3H7O2 => NC3H7O + IC3H7O + O2,NC3H7O2 + IC3H7O2 => NC3H7O + IC3H7O + O2,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
113,C6H13O2-1 + CH3O2 => C6H13O-1 + CH3O + O2,C6H13O2-1 + CH3O2 => C6H13O-1 + CH3O + O2,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
114,P-C6H4O2 + O => CO + CO + C2H2 + CH2CO,P-C6H4O2 + O => CO + CO + C2H2 + CH2CO,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
116,C6H11-2D6OOH => C5H92-5 + CH2O + OH,C6H11-2D6OOH => C5H92-5 + CH2O + OH,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
123,NEC6KET1-3O = IC3H6CHO + CH3CHO,NEC6KET1-3O = IC3H6CHO + CH3CHO,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
124,C7H121KET56O => C3H5-A + CH2CO + CH3CHO,C7H121KET56O => C3H5-A + CH2CO + CH3CHO,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
131,C7H14OOH3-4O => C2H5CHO + NC3H7CHO + OH,C7H14OOH3-4O => C2H5CHO + NC3H7CHO + OH,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
132,C5H5CH3-1 = FULVENE + H2,C5H5CH3-1 = FULVENE + H2,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
136,I3C6O25-1OOH => SC4H8CHO-3 + CH2O + OH,I3C6O25-1OOH => SC4H8CHO-3 + CH2O + OH,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
137,NEC6O1-4 + HO2 => IC3H6CHO + C2H4 + H2O2,NEC6O1-4 + HO2 => IC3H6CHO + C2H4 + H2O2,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
138,IC6O1-1A + OH => HCO + C5H10-1 + H2O,IC6O1-1A + OH => HCO + C5H10-1 + H2O,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
139,C6H11O34-2OOH => CH3CHO + C3H6CHO-1 + OH,C6H11O34-2OOH => CH3CHO + C3H6CHO-1 + OH,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
140,C6H12OOH1-3O2 + CH3 = CH3O + C6H12OOH1-3O,C6H12OOH1-3O2 + CH3 = CH3O + C6H12OOH1-3O,'RxnParams(arr, ((1.0, 0.0, 0),))',False,,,
