name,stereo-name,smiles,charge,mult,inchi,orig-name,orig-inchi,racem-inchi,is_enant
O,O,[O],0,3,InChI=1S/O,O,InChI=1S/O,InChI=1S/O,False
O2,O2,O=O,0,3,InChI=1S/O2/c1-2,O2,InChI=1S/O2/c1-2,InChI=1S/O2/c1-2,False
H,H,[H],0,2,InChI=1S/H,H,InChI=1S/H,InChI=1S/H,False
HO2,HO2,O[O],0,2,InChI=1S/HO2/c1-2/h1H,HO2,InChI=1S/HO2/c1-2/h1H,InChI=1S/HO2/c1-2/h1H,False
OH,OH,[OH],0,2,InChI=1S/HO/h1H,OH,InChI=1S/HO/h1H,InChI=1S/HO/h1H,False
H2,H2,[H][H],0,1,InChI=1S/H2/h1H,H2,InChI=1S/H2/h1H,InChI=1S/H2/h1H,False
H2O,H2O,O,0,1,InChI=1S/H2O/h1H2,H2O,InChI=1S/H2O/h1H2,InChI=1S/H2O/h1H2,False
H2O2,H2O2,OO,0,1,InChI=1S/H2O2/c1-2/h1-2H,H2O2,InChI=1S/H2O2/c1-2/h1-2H,InChI=1S/H2O2/c1-2/h1-2H,False
CO,CO,[C]=O,0,1,InChI=1S/CO/c1-2,CO,InChI=1S/CO/c1-2,InChI=1S/CO/c1-2,False
HCO,HCO,[CH]=O,0,2,InChI=1S/CHO/c1-2/h1H,HCO,InChI=1S/CHO/c1-2/h1H,InChI=1S/CHO/c1-2/h1H,False
O2CHO,O2CHO,O=CO[O],0,2,InChI=1S/CHO3/c2-1-4-3/h1H,O2CHO,InChI=1S/CHO3/c2-1-4-3/h1H,InChI=1S/CHO3/c2-1-4-3/h1H,False
CH2O,CH2O,C=O,0,1,InChI=1S/CH2O/c1-2/h1H2,CH2O,InChI=1S/CH2O/c1-2/h1H2,InChI=1S/CH2O/c1-2/h1H2,False
HO2CHO,HO2CHO,O=COO,0,1,'InChI=1S/CH2O3/c2-1-4-3/h1,3H',HO2CHO,'InChI=1S/CH2O3/c2-1-4-3/h1,3H','InChI=1S/CH2O3/c2-1-4-3/h1,3H',False
CH3,CH3,[CH3],0,2,InChI=1S/CH3/h1H3,CH3,InChI=1S/CH3/h1H3,InChI=1S/CH3/h1H3,False
CH3O,CH3O,C[O],0,2,InChI=1S/CH3O/c1-2/h1H3,CH3O,InChI=1S/CH3O/c1-2/h1H3,InChI=1S/CH3O/c1-2/h1H3,False
CH3O2,CH3O2,CO[O],0,2,InChI=1S/CH3O2/c1-3-2/h1H3,CH3O2,InChI=1S/CH3O2/c1-3-2/h1H3,InChI=1S/CH3O2/c1-3-2/h1H3,False
CH3O2H,CH3O2H,COO,0,1,'InChI=1S/CH4O2/c1-3-2/h2H,1H3',CH3O2H,'InChI=1S/CH4O2/c1-3-2/h2H,1H3','InChI=1S/CH4O2/c1-3-2/h2H,1H3',False
CH3OH,CH3OH,CO,0,1,'InChI=1S/CH4O/c1-2/h2H,1H3',CH3OH,'InChI=1S/CH4O/c1-2/h2H,1H3','InChI=1S/CH4O/c1-2/h2H,1H3',False
CH4,CH4,C,0,1,InChI=1S/CH4/h1H4,CH4,InChI=1S/CH4/h1H4,InChI=1S/CH4/h1H4,False
C2H,C2H,C#[C],0,2,InChI=1S/C2H/c1-2/h1H,C2H,InChI=1S/C2H/c1-2/h1H,InChI=1S/C2H/c1-2/h1H,False
C2H2,C2H2,C#C,0,1,InChI=1S/C2H2/c1-2/h1-2H,C2H2,InChI=1S/C2H2/c1-2/h1-2H,InChI=1S/C2H2/c1-2/h1-2H,False
CH2CO,CH2CO,C=C=O,0,1,InChI=1S/C2H2O/c1-2-3/h1H2,CH2CO,InChI=1S/C2H2O/c1-2-3/h1H2,InChI=1S/C2H2O/c1-2-3/h1H2,False
CHOCHO,CHOCHO,O=CC=O,0,1,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,CHOCHO,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,False
