,name,smiles,inchi
797,C5H9O1-4OOH-2,OOC1COC(C1)C,"InChI=1S/C5H10O3/c1-4-2-5(8-6)3-7-4/h4-6H,2-3H2,1H3"
798,C5H9O1-4OOH-3,CC1OCCC1OO,"InChI=1S/C5H10O3/c1-4-5(8-6)2-3-7-4/h4-6H,2-3H2,1H3"
799,C5H9O1-4OOH-5,OOCC1CCCO1,"InChI=1S/C5H10O3/c6-8-4-5-2-1-3-7-5/h5-6H,1-4H2"
800,C5H9O1-5OOH-2,OOC1CCCOC1,"InChI=1S/C5H10O3/c6-8-5-2-1-3-7-4-5/h5-6H,1-4H2"
801,C5H9O1-5OOH-3,OOC1CCOCC1,"InChI=1S/C5H10O3/c6-8-5-1-3-7-4-2-5/h5-6H,1-4H2"
802,C5H9O2-3OOH-1,CCC1OC1COO,"InChI=1S/C5H10O3/c1-2-4-5(8-4)3-7-6/h4-6H,2-3H2,1H3"
803,C5H9O2-3OOH-4,CC(C1OC1C)OO,"InChI=1S/C5H10O3/c1-3-5(7-3)4(2)8-6/h3-6H,1-2H3"
804,C5H9O2-3OOH-5,CC1OC1CCOO,"InChI=1S/C5H10O3/c1-4-5(8-4)2-3-7-6/h4-6H,2-3H2,1H3"
805,C5H9O2-4OOH-1,CC1CC(O1)COO,"InChI=1S/C5H10O3/c1-4-2-5(8-4)3-7-6/h4-6H,2-3H2,1H3"
806,C5H9O2-4OOH-3,OOC1C(C)OC1C,"InChI=1S/C5H10O3/c1-3-5(8-6)4(2)7-3/h3-6H,1-2H3"
807,C5H9OA-AOOH-B,CCC1(OO)COC1,"InChI=1S/C5H10O3/c1-2-5(8-6)3-7-4-5/h6H,2-4H2,1H3"
808,C5H9OA-AOOH-C,OOC(C1COC1)C,"InChI=1S/C5H10O3/c1-4(8-6)5-2-7-3-5/h4-6H,2-3H2,1H3"
809,C5H9OA-AOOH-D,OOCCC1COC1,"InChI=1S/C5H10O3/c6-8-2-1-5-3-7-4-5/h5-6H,1-4H2"
810,C5H9OA-BOOH-A,CCC1(COO)CO1,"InChI=1S/C5H10O3/c1-2-5(3-7-5)4-8-6/h6H,2-4H2,1H3"
811,C5H9OA-BOOH-C,CC(C1(C)CO1)OO,"InChI=1S/C5H10O3/c1-4(8-6)5(2)3-7-5/h4,6H,3H2,1-2H3"
812,C5H9OA-BOOH-D,OOCCC1(C)CO1,"InChI=1S/C5H10O3/c1-5(4-7-5)2-3-8-6/h6H,2-4H2,1H3"
813,C5H9OA-COOH-A,CC1OCC1COO,"InChI=1S/C5H10O3/c1-4-5(2-7-4)3-8-6/h4-6H,2-3H2,1H3"
814,C5H9OA-COOH-B,CC1(COC1C)OO,"InChI=1S/C5H10O3/c1-4-5(2,8-6)3-7-4/h4,6H,3H2,1-2H3"
815,C5H9OA-COOH-D,CC1COC1COO,"InChI=1S/C5H10O3/c1-4-2-7-5(4)3-8-6/h4-6H,2-3H2,1H3"
816,C5H9OA-DOOH-A,OOCC1COCC1,"InChI=1S/C5H10O3/c6-8-4-5-1-2-7-3-5/h5-6H,1-4H2"
817,C5H9OA-DOOH-B,OOC1(C)COCC1,"InChI=1S/C5H10O3/c1-5(8-6)2-3-7-4-5/h6H,2-4H2,1H3"
818,C5H9OA-DOOH-C,CC1COCC1OO,"InChI=1S/C5H10O3/c1-4-2-7-3-5(4)8-6/h4-6H,2-3H2,1H3"
819,C5H9OB-COOH-A,CC1(COO)OC1C,"InChI=1S/C5H10O3/c1-4-5(2,8-4)3-7-6/h4,6H,3H2,1-2H3"
820,C5H9OB-COOH-D,OOCC1OC1(C)C,"InChI=1S/C5H10O3/c1-5(2)4(8-5)3-7-6/h4,6H,3H2,1-2H3"
821,C5H9OB-DOOH-A,CC1(COO)CCO1,"InChI=1S/C5H10O3/c1-5(4-8-6)2-3-7-5/h6H,2-4H2,1H3"
822,C5H9OB-DOOH-C,OOC1COC1(C)C,"InChI=1S/C5H10O3/c1-5(2)4(8-6)3-7-5/h4,6H,3H2,1-2H3"
823,C5H9OC-DOOH-A,CC(C1CO1)COO,"InChI=1S/C5H10O3/c1-4(2-8-6)5-3-7-5/h4-6H,2-3H2,1H3"
824,C5H9OC-DOOH-B,OOC(C1OC1)(C)C,"InChI=1S/C5H10O3/c1-5(2,8-6)4-3-7-4/h4,6H,3H2,1-2H3"
825,C5H9OH1-1,CCCC=CO,"InChI=1S/C5H10O/c1-2-3-4-5-6/h4-6H,2-3H2,1H3"
826,C5H9OH1-2,CCC=CCO,"InChI=1S/C5H10O/c1-2-3-4-5-6/h3-4,6H,2,5H2,1H3"
827,C5H9OH1-3,CC=CCCO,"InChI=1S/C5H10O/c1-2-3-4-5-6/h2-3,6H,4-5H2,1H3"
828,C5H9OH1-4,OCCCC=C,"InChI=1S/C5H10O/c1-2-3-4-5-6/h2,6H,1,3-5H2"
829,C5H9OH1O1-2,CCCC1OC1O,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7-4/h4-6H,2-3H2,1H3"
830,C5H9OH1O2-3,CCC1OC1CO,"InChI=1S/C5H10O2/c1-2-4-5(3-6)7-4/h4-6H,2-3H2,1H3"
831,C5H9OH1O2-4,CC1CC(O1)CO,"InChI=1S/C5H10O2/c1-4-2-5(3-6)7-4/h4-6H,2-3H2,1H3"
832,C5H9OH1O2-5,OCC1CCCO1,"InChI=1S/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2"
833,C5H9OH2-1,CCCC(=C)O,"InChI=1S/C5H10O/c1-3-4-5(2)6/h6H,2-4H2,1H3"
834,C5H9OH2-2,CCC=C(O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h4,6H,3H2,1-2H3"
835,C5H9OH2-3,CC=CC(O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-6H,1-2H3"
836,C5H9OH2O1-2,CCCC1(O)CO1,"InChI=1S/C5H10O2/c1-2-3-5(6)4-7-5/h6H,2-4H2,1H3"
837,C5H9OH2O1-3,CCC1OCC1O,"InChI=1S/C5H10O2/c1-2-5-4(6)3-7-5/h4-6H,2-3H2,1H3"
838,C5H9OH2O1-4,OC1COC(C1)C,"InChI=1S/C5H10O2/c1-4-2-5(6)3-7-4/h4-6H,2-3H2,1H3"
839,C5H9OH2O1-5,OC1CCCOC1,"InChI=1S/C5H10O2/c6-5-2-1-3-7-4-5/h5-6H,1-4H2"
840,C5H9OH2O2-3,CCC1OC1(C)O,"InChI=1S/C5H10O2/c1-3-4-5(2,6)7-4/h4,6H,3H2,1-2H3"
841,C5H9OH2O3-4,CC(C1OC1C)O,"InChI=1S/C5H10O2/c1-3(6)5-4(2)7-5/h3-6H,1-2H3"
842,C5H9OH2O3-5,CC(C1CCO1)O,"InChI=1S/C5H10O2/c1-4(6)5-2-3-7-5/h4-6H,2-3H2,1H3"
843,C5H9OH3-1,CCC(C=C)O,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3,5-6H,1,4H2,2H3"
844,C5H9OH3-2,CCC(=CC)O,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3,6H,4H2,1-2H3"
845,C5H9OH3O1-2,CCC(C1CO1)O,"InChI=1S/C5H10O2/c1-2-4(6)5-3-7-5/h4-6H,2-3H2,1H3"
846,C5H9OH3O2-3,CCC1(O)OC1C,"InChI=1S/C5H10O2/c1-3-5(6)4(2)7-5/h4,6H,3H2,1-2H3"
847,C5H9OH3O2-4,OC1C(C)OC1C,"InChI=1S/C5H10O2/c1-3-5(6)4(2)7-3/h3-6H,1-2H3"
848,C5H9OH3O2-5,OC1CCOC1C,"InChI=1S/C5H10O2/c1-4-5(6)2-3-7-4/h4-6H,2-3H2,1H3"
849,CC5H10,C=CC(C)C,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3"
850,C-DC5H10O,CC(C1OC1)C,"InChI=1S/C5H10O/c1-4(2)5-3-6-5/h4-5H,3H2,1-2H3"
851,DC5H10O,O=CCC(C)C,"InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3"
852,IC5KETAA,CCC(C=O)COO,"InChI=1S/C5H10O3/c1-2-5(3-6)4-8-7/h3,5,7H,2,4H2,1H3"
853,IC5KETAB,CC(C=O)(OO)CC,"InChI=1S/C5H10O3/c1-3-5(2,4-6)8-7/h4,7H,3H2,1-2H3"
854,IC5KETAC,OOC(C(C=O)C)C,"InChI=1S/C5H10O3/c1-4(3-6)5(2)8-7/h3-5,7H,1-2H3"
855,IC5KETAD,CC(C=O)CCOO,"InChI=1S/C5H10O3/c1-5(4-6)2-3-8-7/h4-5,7H,2-3H2,1H3"
856,IC5KETCA,CC(C(=O)C)COO,"InChI=1S/C5H10O3/c1-4(3-8-7)5(2)6/h4,7H,3H2,1-2H3"
857,IC5KETCB,OOC(C(=O)C)(C)C,"InChI=1S/C5H10O3/c1-4(6)5(2,3)8-7/h7H,1-3H3"
858,IC5KETCD,OOCC(=O)C(C)C,"InChI=1S/C5H10O3/c1-4(2)5(6)3-8-7/h4,7H,3H2,1-2H3"
859,IC5KETDA,OOCC(CC=O)C,"InChI=1S/C5H10O3/c1-5(2-3-6)4-8-7/h3,5,7H,2,4H2,1H3"
860,IC5KETDB,OOC(CC=O)(C)C,"InChI=1S/C5H10O3/c1-5(2,8-7)3-4-6/h4,7H,3H2,1-2H3"
861,IC5KETDC,OOC(C(C)C)C=O,"InChI=1S/C5H10O3/c1-4(2)5(3-6)8-7/h3-5,7H,1-2H3"
862,IC5Y3,CC(=O)C(C)C,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3"
863,NC3H7COCH3,CCCC(=O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
864,NC5CYCPER13,CCC1CC(OO1)O,"InChI=1S/C5H10O3/c1-2-4-3-5(6)8-7-4/h4-6H,2-3H2,1H3"
865,NC5CYCPER24,CC1OOC(C1)(C)O,"InChI=1S/C5H10O3/c1-4-3-5(2,6)8-7-4/h4,6H,3H2,1-2H3"
866,NC5CYCPER31,CCC1(O)CCOO1,"InChI=1S/C5H10O3/c1-2-5(6)3-4-7-8-5/h6H,2-4H2,1H3"
867,NC5KET12,CCCC(C=O)OO,"InChI=1S/C5H10O3/c1-2-3-5(4-6)8-7/h4-5,7H,2-3H2,1H3"
868,NC5KET13,CCC(OO)CC=O,"InChI=1S/C5H10O3/c1-2-5(8-7)3-4-6/h4-5,7H,2-3H2,1H3"
869,NC5KET14,CC(OO)CCC=O,"InChI=1S/C5H10O3/c1-5(8-7)3-2-4-6/h4-5,7H,2-3H2,1H3"
870,NC5KET15,OOCCCCC=O,"InChI=1S/C5H10O3/c6-4-2-1-3-5-8-7/h4,7H,1-3,5H2"
871,NC5KET21,CCCC(=O)COO,"InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h7H,2-4H2,1H3"
872,NC5KET23,CCC(C(=O)C)OO,"InChI=1S/C5H10O3/c1-3-5(8-7)4(2)6/h5,7H,3H2,1-2H3"
873,NC5KET24,CC(OO)CC(=O)C,"InChI=1S/C5H10O3/c1-4(6)3-5(2)8-7/h5,7H,3H2,1-2H3"
874,NC5KET25,OOCCCC(=O)C,"InChI=1S/C5H10O3/c1-5(6)3-2-4-8-7/h7H,2-4H2,1H3"
875,NC5KET31,CCC(=O)CCOO,"InChI=1S/C5H10O3/c1-2-5(6)3-4-8-7/h7H,2-4H2,1H3"
876,NC5KET32,CC(C(=O)CC)OO,"InChI=1S/C5H10O3/c1-3-5(6)4(2)8-7/h4,7H,3H2,1-2H3"
877,NEO-C5H10O,CC1(C)COC1,"InChI=1S/C5H10O/c1-5(2)3-6-4-5/h3-4H2,1-2H3"
878,NEOC5H9O-OOH,OOCC1(C)COC1,"InChI=1S/C5H10O3/c1-5(4-8-6)2-7-3-5/h6H,2-4H2,1H3"
879,NEOC5KET,OOCC(C=O)(C)C,"InChI=1S/C5H10O3/c1-5(2,3-6)4-8-7/h3,7H,4H2,1-2H3"
880,PC4H9CHO,CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3"
881,SC4H9CHO,CC(C=O)CC,"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3"
882,TC4H9CHO,O=CC(C)(C)C,"InChI=1S/C5H10O/c1-5(2,3)4-6/h4H,1-3H3"
883,AC5H10OH,CC[C](CO)C,"InChI=1S/C5H11O/c1-3-5(2)4-6/h6H,3-4H2,1-2H3"
884,AC5H10OOH-A,[CH2]C(CC)COO,"InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h5-6H,2-4H2,1H3"
885,AC5H10OOH-AO2,OOCC(CO[O])CC,"InChI=1S/C5H11O4/c1-2-5(3-8-6)4-9-7/h5-6H,2-4H2,1H3"
886,AC5H10OOH-B,C[C](CC)COO,"InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h6H,3-4H2,1-2H3"
887,AC5H10OOH-BO2,OOCC(O[O])(CC)C,"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h6H,3-4H2,1-2H3"
888,AC5H10OOH-C,CC([CH]C)COO,"InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h3,5-6H,4H2,1-2H3"
889,AC5H10OOH-CO2,OOCC(C(O[O])C)C,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-6H,3H2,1-2H3"
890,AC5H10OOH-D,CC(C[CH2])COO,"InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h5-6H,1,3-4H2,2H3"
891,AC5H10OOH-DO2,[O]OCCC(COO)C,"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h5,7H,2-4H2,1H3"
892,AC5H11,CCC([CH2])C,"InChI=1S/C5H11/c1-4-5(2)3/h5H,2,4H2,1,3H3"
893,AC5H11O,CCC(C[O])C,"InChI=1S/C5H11O/c1-3-5(2)4-6/h5H,3-4H2,1-2H3"
894,AC5H11O2,CC(CC)CO[O],"InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h5H,3-4H2,1-2H3"
895,AO2C5H10OH,CCC(O[O])(CO)C,"InChI=1S/C5H11O3/c1-3-5(2,4-6)8-7/h6H,3-4H2,1-2H3"
896,BC5H10OH,C[CH]C(O)(C)C,"InChI=1S/C5H11O/c1-4-5(2,3)6/h4,6H,1-3H3"
897,BC5H10OOH-A,CCC(OO)([CH2])C,"InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h6H,2,4H2,1,3H3"
898,BC5H10OOH-AO2,[O]OCC(OO)(CC)C,"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h7H,3-4H2,1-2H3"
899,BC5H10OOH-C,C[CH]C(OO)(C)C,"InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h4,6H,1-3H3"
900,BC5H10OOH-CO2,[O]OC(C(OO)(C)C)C,"InChI=1S/C5H11O4/c1-4(8-6)5(2,3)9-7/h4,7H,1-3H3"
901,BC5H10OOH-D,[CH2]CC(OO)(C)C,"InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h6H,1,4H2,2-3H3"
902,BC5H10OOH-DO2,[O]OCCC(OO)(C)C,"InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h7H,3-4H2,1-2H3"
903,BC5H11,CC[C](C)C,"InChI=1S/C5H11/c1-4-5(2)3/h4H2,1-3H3"
904,BC5H11O,CCC([O])(C)C,"InChI=1S/C5H11O/c1-4-5(2,3)6/h4H2,1-3H3"
905,BC5H11O2,CCC(O[O])(C)C,"InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h4H2,1-3H3"
906,BO2C5H10OH,[O]OC(C(O)(C)C)C,"InChI=1S/C5H11O3/c1-4(8-7)5(2,3)6/h4,6H,1-3H3"
907,C5H10OH11,CCCC[CH]O,"InChI=1S/C5H11O/c1-2-3-4-5-6/h5-6H,2-4H2,1H3"
908,C5H10OH12,CCC[CH]CO,"InChI=1S/C5H11O/c1-2-3-4-5-6/h4,6H,2-3,5H2,1H3"
909,C5H10OH13,CC[CH]CCO,"InChI=1S/C5H11O/c1-2-3-4-5-6/h3,6H,2,4-5H2,1H3"
910,C5H10OH14,C[CH]CCCO,"InChI=1S/C5H11O/c1-2-3-4-5-6/h2,6H,3-5H2,1H3"
911,C5H10OH15,[CH2]CCCCO,"InChI=1S/C5H11O/c1-2-3-4-5-6/h6H,1-5H2"
912,C5H10OH21,CCCC(O)[CH2],"InChI=1S/C5H11O/c1-3-4-5(2)6/h5-6H,2-4H2,1H3"
913,C5H10OH22,CCC[C](O)C,"InChI=1S/C5H11O/c1-3-4-5(2)6/h6H,3-4H2,1-2H3"
914,C5H10OH23,CC[CH]C(O)C,"InChI=1S/C5H11O/c1-3-4-5(2)6/h4-6H,3H2,1-2H3"
915,C5H10OH25,[CH2]CCC(O)C,"InChI=1S/C5H11O/c1-3-4-5(2)6/h5-6H,1,3-4H2,2H3"
916,C5H10OH-2O2,CCCC(O[O])CO,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h5-6H,2-4H2,1H3"
917,C5H10OH32,C[CH]C(CC)O,"InChI=1S/C5H11O/c1-3-5(6)4-2/h3,5-6H,4H2,1-2H3"
918,C5H10OH-3O2,OCCC(O[O])CC,"InChI=1S/C5H11O3/c1-2-5(8-7)3-4-6/h5-6H,2-4H2,1H3"
919,C5H10OH-4O2,OCCCC(O[O])C,"InChI=1S/C5H11O3/c1-5(8-7)3-2-4-6/h5-6H,2-4H2,1H3"
920,C5H10OH-5O2,OCCCCCO[O],"InChI=1S/C5H11O3/c6-4-2-1-3-5-8-7/h6H,1-5H2"
921,C5H10OOH1-2,CCC[CH]COO,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h4,6H,2-3,5H2,1H3"
922,C5H10OOH1-2O,CCCC(COO)[O],"InChI=1S/C5H11O3/c1-2-3-5(6)4-8-7/h5,7H,2-4H2,1H3"
923,C5H10OOH1-2O2,CCCC(COO)O[O],"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5-6H,2-4H2,1H3"
924,C5H10OOH1-3,CC[CH]CCOO,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h3,6H,2,4-5H2,1H3"
925,C5H10OOH1-3O2,OOCCC(O[O])CC,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5-6H,2-4H2,1H3"
926,C5H10OOH1-4,C[CH]CCCOO,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h2,6H,3-5H2,1H3"
927,C5H10OOH1-4O2,OOCCCC(O[O])C,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-6H,2-4H2,1H3"
928,C5H10OOH1-5,[CH2]CCCCOO,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h6H,1-5H2"
929,C5H10OOH1-5O2,OOCCCCCO[O],"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h6H,1-5H2"
930,C5H10OOH2-1,[CH2]C(OO)CCC,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,2-4H2,1H3"
931,C5H10OOH2-1O,CCCC(OO)C[O],"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h5,7H,2-4H2,1H3"
932,C5H10OOH2-1O2,CCCC(CO[O])OO,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5,7H,2-4H2,1H3"
933,C5H10OOH2-3,CC(OO)[CH]CC,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h4-6H,3H2,1-2H3"
934,C5H10OOH2-3O,CCC(C(OO)C)[O],"InChI=1S/C5H11O3/c1-3-5(6)4(2)8-7/h4-5,7H,3H2,1-2H3"
935,C5H10OOH2-3O2,CCC(C(OO)C)O[O],"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-6H,3H2,1-2H3"
936,C5H10OOH2-4,CC(OO)C[CH]C,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h3,5-6H,4H2,1-2H3"
937,C5H10OOH2-4O2,OOC(CC(O[O])C)C,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-6H,3H2,1-2H3"
938,C5H10OOH2-5,CC(OO)CC[CH2],"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,1,3-4H2,2H3"
939,C5H10OOH2-5O2,[O]OCCCC(OO)C,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5,7H,2-4H2,1H3"
940,C5H10OOH3-1,CCC(OO)C[CH2],"InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h5-6H,1,3-4H2,2H3"
941,C5H10OOH3-1O2,[O]OCCC(OO)CC,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5,7H,2-4H2,1H3"
942,C5H10OOH3-2,C[CH]C(OO)CC,"InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h3,5-6H,4H2,1-2H3"
943,C5H10OOH3-2O,CCC(C([O])C)OO,"InChI=1S/C5H11O3/c1-3-5(8-7)4(2)6/h4-5,7H,3H2,1-2H3"
944,C5H10OOH3-2O2,CCC(C(O[O])C)OO,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-5,7H,3H2,1-2H3"
945,C5H11-1,CCCC[CH2],"InChI=1S/C5H11/c1-3-5-4-2/h1,3-5H2,2H3"
946,C5H11-2,C[CH]CCC,"InChI=1S/C5H11/c1-3-5-4-2/h3H,4-5H2,1-2H3"
947,C5H11-3,CC[CH]CC,"InChI=1S/C5H11/c1-3-5-4-2/h5H,3-4H2,1-2H3"
948,C5H11O-1,CCCCC[O],"InChI=1S/C5H11O/c1-2-3-4-5-6/h2-5H2,1H3"
949,C5H11O-2,CCCC([O])C,"InChI=1S/C5H11O/c1-3-4-5(2)6/h5H,3-4H2,1-2H3"
950,C5H11O2-1,CCCCCO[O],"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h2-5H2,1H3"
951,C5H11O2-2,CC(O[O])CCC,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5H,3-4H2,1-2H3"
952,C5H11O2-3,CCC(O[O])CC,"InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h5H,3-4H2,1-2H3"
953,C5H11O-3,CCC(CC)[O],"InChI=1S/C5H11O/c1-3-5(6)4-2/h5H,3-4H2,1-2H3"
954,"C5H91-2,3OOH",CCC(C(OO)[CH2])OO,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,2-3H2,1H3"
955,"C5H91-2,4OOH",OOC(CC(OO)C)[CH2],"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-7H,1,3H2,2H3"
956,"C5H91-2,5OOH",OOCCCC(OO)[CH2],"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-7H,1-4H2"
957,"C5H91-3,4OOH",[CH2]CC(C(OO)C)OO,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,1,3H2,2H3"
958,"C5H91-3,5OOH",OOCCC(OO)C[CH2],"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5-7H,1-4H2"
959,"C5H91-4,5OOH",[CH2]CCC(COO)OO,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5-7H,1-4H2"
960,"C5H92-1,3OOH",OOC[CH]C(OO)CC,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h3,5-7H,2,4H2,1H3"
961,"C5H92-1,4OOH",OOC[CH]CC(OO)C,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h2,5-7H,3-4H2,1H3"
962,"C5H92-1,5OOH",OOC[CH]CCCOO,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h2,6-7H,1,3-5H2"
963,"C5H92-3,4OOH",C[CH]C(C(OO)C)OO,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h3-7H,1-2H3"
964,"C5H92-3,5OOH",OOCCC(OO)[CH]C,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h2,5-7H,3-4H2,1H3"
965,"C5H92-4,5OOH",C[CH]CC(COO)OO,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h2,5-7H,3-4H2,1H3"
966,"C5H93-1,2OOH",CC[CH]C(COO)OO,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h3,5-7H,2,4H2,1H3"
967,"C5H93-1,4OOH",OOCC[CH]C(OO)C,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h3,5-7H,2,4H2,1H3"
968,"C5H93-1,5OOH",OOCC[CH]CCOO,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h1,6-7H,2-5H2"
969,"C5H93-2,4OOH",OOC([CH]C(OO)C)C,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h3-7H,1-2H3"
970,"C5H9A-A,BOOH",OOCC(OO)(CC)[CH2],"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h6-7H,2-4H2,1H3"
971,"C5H9A-A,COOH",OOCC(C(OO)C)[CH2],"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-7H,1,3H2,2H3"
972,"C5H9A-A,DOOH",OOCCC(COO)[CH2],"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h5-7H,1-4H2"
973,"C5H9A-B,COOH",OOC(C(OO)([CH2])C)C,"InChI=1S/C5H11O4/c1-4(8-6)5(2,3)9-7/h4,6-7H,2H2,1,3H3"
974,"C5H9A-B,DOOH",OOCCC(OO)([CH2])C,"InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h6-7H,1,3-4H2,2H3"
975,"C5H9A-C,DOOH",OOCC(C([CH2])C)OO,"InChI=1S/C5H11O4/c1-4(2)5(9-7)3-8-6/h4-7H,1,3H2,2H3"
976,"C5H9B-A,AOOH",OOC[C](COO)CC,"InChI=1S/C5H11O4/c1-2-5(3-8-6)4-9-7/h6-7H,2-4H2,1H3"
977,"C5H9B-A,COOH",OOC[C](C(OO)C)C,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h5-7H,3H2,1-2H3"
978,"C5H9B-A,DOOH",OOCC[C](COO)C,"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h6-7H,2-4H2,1H3"
979,"C5H9B-C,DOOH",OOCC([C](C)C)OO,"InChI=1S/C5H11O4/c1-4(2)5(9-7)3-8-6/h5-7H,3H2,1-2H3"
980,"C5H9C-A,AOOH",OOCC(COO)[CH]C,"InChI=1S/C5H11O4/c1-2-5(3-8-6)4-9-7/h2,5-7H,3-4H2,1H3"
981,"C5H9C-A,BOOH",OOCC(OO)([CH]C)C,"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h3,6-7H,4H2,1-2H3"
982,"C5H9C-A,DOOH",OOC[CH]C(COO)C,"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h2,5-7H,3-4H2,1H3"
983,"C5H9C-B,DOOH",OOC[CH]C(OO)(C)C,"InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h3,6-7H,4H2,1-2H3"
984,"C5H9D-A,AOOH",OOCC(COO)C[CH2],"InChI=1S/C5H11O4/c1-2-5(3-8-6)4-9-7/h5-7H,1-4H2"
985,"C5H9D-A,BOOH",OOCC(OO)(C[CH2])C,"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h6-7H,1,3-4H2,2H3"
986,"C5H9D-A,COOH",OOCC(C(OO)[CH2])C,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-7H,2-3H2,1H3"
