,name,smiles,inchi
92,C2H3O1-2,[CH]1CO1,"InChI=1S/C2H3O/c1-2-3-1/h1H,2H2"
93,C2H3OO,C=C(O[O]),"InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2"
94,CH2CHO,[CH2]C=O,"InChI=1S/C2H3O/c1-2-3/h2H,1H2"
95,CH2OCHO,[CH2]OC=O,"InChI=1S/C2H3O2/c1-4-2-3/h2H,1H2"
96,CH3CO,C[C]=O,InChI=1S/C2H3O/c1-2-3/h1H3
97,CH3CO2,CC([O])=O,InChI=1S/C2H3O2/c1-2(3)4/h1H3
98,CH3CO3,CC(=O)O[O],InChI=1S/C2H3O3/c1-2(3)5-4/h1H3
99,CH3OCO,CO[C]=O,InChI=1S/C2H3O2/c1-4-2-3/h1H3
100,HO2CH2CO,O=[C]COO,"InChI=1S/C2H3O3/c3-1-2-5-4/h4H,2H2"
101,HOCH2CO,OC[C]=O,"InChI=1S/C2H3O2/c3-1-2-4/h3H,1H2"
102,HOCH2OCO,O=[C]OCO,"InChI=1S/C2H3O3/c3-1-5-2-4/h3H,1H2"
103,HOCHCHO,OC=C[O],InChI=1S/C2H3O2/c3-1-2-4/h1-3H
104,O2CH2CHO,[O]OCC=O,"InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2"
105,OCH2CHO,[O]CC=O,"InChI=1S/C2H3O2/c3-1-2-4/h1H,2H2"
106,OCH2OCHO,[O]COC=O,"InChI=1S/C2H3O3/c3-1-5-2-4/h1H,2H2"
107,SC2H2OH,O[C]=C,"InChI=1S/C2H3O/c1-2-3/h3H,1H2"
108,C2H3OH,C=CO,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2"
109,C2H3OOH,C=COO,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2"
110,C2H4,C=C,InChI=1S/C2H4/c1-2/h1-2H2
111,C2H4O1-2,C1CO1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2
112,CH3CHO,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
113,CH3CO3H,CC(=O)OO,"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3"
114,CH3COOH,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
115,CH3OCHO,COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
116,HO2CH2CHO,C(COO)=O,"InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2"
117,HO2CH2OCHO,O=COCOO,"InChI=1S/C2H4O4/c3-1-5-2-6-4/h1,4H,2H2"
118,HOCH2CHO,OCC=O,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2"
119,C2H4O2H,[CH2]COO,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2"
120,C2H5,[CH2]C,"InChI=1S/C2H5/c1-2/h1H2,2H3"
121,C2H5O,CC[O],"InChI=1S/C2H5O/c1-2-3/h2H2,1H3"
122,C2H5O2,CCO[O],"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3"
123,CH2OCH2O2H,[CH2]OCOO,"InChI=1S/C2H5O3/c1-4-2-5-3/h3H,1-2H2"
124,CH3OCH2,[CH2]OC,"InChI=1S/C2H5O/c1-3-2/h1H2,2H3"
125,CH3OCH2O,COC[O],"InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3"
126,CH3OCH2O2,COCO[O],"InChI=1S/C2H5O3/c1-4-2-5-3/h2H2,1H3"
127,O2C2H4OH,[O]OCCO,"InChI=1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2"
128,O2CH2OCH2O2H,[O]OCOCOO,"InChI=1S/C2H5O5/c3-6-1-5-2-7-4/h3H,1-2H2"
129,PC2H4OH,[CH2]CO,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2"
130,SC2H4OH,C[CH]O,"InChI=1S/C2H5O/c1-2-3/h2-3H,1H3"
131,C2H5O2H,CCOO,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3"
132,C2H5OH,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
133,C2H6,CC,InChI=1S/C2H6/c1-2/h1-2H3
134,CH3OCH2O2H,COCOO,"InChI=1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3"
135,CH3OCH2OH,COCO,"InChI=1S/C2H6O2/c1-4-2-3/h3H,2H2,1H3"
136,CH3OCH3,COC,InChI=1S/C2H6O/c1-3-2/h1-2H3
137,CH2CN,[CH2]C#N,InChI=1S/C2H2N/c1-2-3/h1H2
138,CH3CN,CC#N,InChI=1S/C2H3N/c1-2-3/h1H3
139,C2HCHO,C#CC=O,"InChI=1S/C3H2O/c1-2-3-4/h1,3H"
140,C3H2,[CH]=C=[CH],InChI=1S/C3H2/c1-3-2/h1-2H
141,C3H2(S),singlet[CH]=C=[CH],SINGLET_InChI=1S/C3H2/c1-3-2/h1-2H
142,C3H2C,C1=CC=1,InChI=1S/C3H2/c1-2-3-1/h1-2H
143,CH2CCO,C=C=C=O,InChI=1S/C3H2O/c1-2-3-4/h1H2
144,H2CCC(S),C=C=[C],InChI=1S/C3H2/c1-3-2/h1H2
145,C2H3CO,C=C[C]=O,"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2"
146,C3H3,[CH2]C#C,"InChI=1S/C3H3/c1-3-2/h1H,2H2"
147,C3H3O,[O]C=C=C,"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2"
148,CH2CHOCO,C=CO[C]=O,"InChI=1S/C3H3O2/c1-2-5-3-4/h2H,1H2"
149,CH2COHCO,OC(=C)[C]=O,"InChI=1S/C3H3O2/c1-3(5)2-4/h5H,1H2"
150,CJVCCVO,[CH]=CC=O,InChI=1S/C3H3O/c1-2-3-4/h1-3H
151,C2H3CHO,C=CC=O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
152,C3H3O2H,OOC=C=C,"InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2"
153,C3H4-A,C=C=C,InChI=1S/C3H4/c1-3-2/h1-2H2
154,C3H4O,OC=C=C,"InChI=1S/C3H4O/c1-2-3-4/h3-4H,1H2"
155,C3H4O1-2,C=C1CO1,InChI=1S/C3H4O/c1-3-2-4-3/h1-2H2
156,C3H4-P,CC#C,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
157,CC3H4,C1=CC1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2"
158,CH2CHOCHO,C=COC=O,"InChI=1S/C3H4O2/c1-2-5-3-4/h2-3H,1H2"
159,CH2COCH2,[CH2]C([CH2])=O,InChI=1S/C3H4O/c1-3(2)4/h1-2H2
160,CH2COHCHO,OC(=C)C=O,"InChI=1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2"
161,CH3CCHO,C[C]C=O,"InChI=1S/C3H4O/c1-2-3-4/h3H,1H3"
162,CH3CHCO,CC=C=O,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3"
163,CH3COCH,[CH]C(C)=O,"InChI=1S/C3H4O/c1-3(2)4/h1H,2H3"
164,CH3COCHO,O=CC(=O)C,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3"
165,CH3COHCO,CC(=C=O)O,"InChI=1S/C3H4O2/c1-3(5)2-4/h5H,1H3"
166,C2H4OCHO,CC(C=O)[O],"InChI=1S/C3H5O2/c1-3(5)2-4/h2-3H,1H3"
167,C2H5CO,CC[C]=O,"InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3"
168,C2H5CO3,CCC(=O)O[O],"InChI=1S/C3H5O3/c1-2-3(4)6-5/h2H2,1H3"
169,C3H5-A,[CH2]C=C,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2"
170,C3H5O,[O]CC=C,"InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2"
171,C3H5O31,OCC(=C)O[O],"InChI=1S/C3H5O3/c1-3(2-4)6-5/h4H,1-2H2"
172,C3H5O32,[O]CC(=C)OO,"InChI=1S/C3H5O3/c1-3(2-4)6-5/h5H,1-2H2"
173,C3H5-S,CC=[CH],"InChI=1S/C3H5/c1-3-2/h1,3H,2H3"
174,C3H5-T,C[C]=C,"InChI=1S/C3H5/c1-3-2/h1H2,2H3"
175,CCYCCO-T1,C[C]1C(O1),"InChI=1S/C3H5O/c1-3-2-4-3/h2H2,1H3"
176,CH2CCH2OH,C=[C]CO,"InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2"
177,CH2CH2CHO,[CH2]CC=O,"InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2"
178,CH2CHCHOH,O[CH]C=C,"InChI=1S/C3H5O/c1-2-3-4/h2-4H,1H2"
179,CH2CHOCH2,C=CO[CH2],"InChI=1S/C3H5O/c1-3-4-2/h3H,1-2H2"
180,CH2OCH2CHO,[CH2]OCC=O,"InChI=1S/C3H5O2/c1-5-3-2-4/h2H,1,3H2"
181,CH3C(OH)CH,CC(=[CH])O,"InChI=1S/C3H5O/c1-3(2)4/h1,4H,2H3"
182,CH3CHCHO,C[CH]C=O,"InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3"
183,CH3COCH2,[CH2]C(C)=O,"InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3"
184,CH3COCH2O,CC(=O)C[O],"InChI=1S/C3H5O2/c1-3(5)2-4/h2H2,1H3"
185,CH3COCH2O2,CC(=O)CO[O],"InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3"
186,CH3COCHOH,OC=C([O])C,"InChI=1S/C3H5O2/c1-3(5)2-4/h2,4H,1H3"
187,HOCH2COCH2,OCC(=C)[O],"InChI=1S/C3H5O2/c1-3(5)2-4/h4H,1-2H2"
188,OCHCH2CH2O,[O]CCC=O,"InChI=1S/C3H5O2/c4-2-1-3-5/h2H,1,3H2"
189,PC3H4OH-1,CC=[C]O,"InChI=1S/C3H5O/c1-2-3-4/h2,4H,1H3"
190,PC3H4OH-2,C[C]=CO,"InChI=1S/C3H5O/c1-2-3-4/h3-4H,1H3"
191,SC3H4OH,C=C([CH2])O,"InChI=1S/C3H5O/c1-3(2)4/h4H,1-2H2"
192,SC3H5OO,CC=CO[O],"InChI=1S/C3H5O2/c1-2-3-5-4/h2-3H,1H3"
193,TC3H5OO,C=C(C)O[O],"InChI=1S/C3H5O2/c1-3(2)5-4/h1H2,2H3"
194,AC3H5OOH,C=CCOO,"InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2"
195,C2H3COHOOH,C=CC(O)(OO),"InChI=1S/C3H6O3/c1-2-3(4)6-5/h2-5H,1H2"
196,C2H5CHO,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
197,C2H5CO3H,CCC(=O)OO,"InChI=1S/C3H6O3/c1-2-3(4)6-5/h5H,2H2,1H3"
198,C2H5COOH,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)"
199,C3H5O1-2OOH-3,OOCC1CO1,"InChI=1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2"
200,C3H5OH,OCC=C,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2"
201,C3H5-SOOH,CC=COO,"InChI=1S/C3H6O2/c1-2-3-5-4/h2-4H,1H3"
202,C3H6,CC=C,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
203,C3H6O1-2,CC1CO1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3"
204,C3H6O1-3,C1CCO1,InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2
205,C3KET12,CC(C=O)OO,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3"
206,C3KET13,OOCCC=O,"InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2"
207,C3KET21,CC(=O)COO,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3"
208,CC3H6,C1CC1,InChI=1S/C3H6/c1-2-3-1/h1-3H2
209,CCY(COC)OH,CC1C(O)O1,"InChI=1S/C3H6O2/c1-2-3(4)5-2/h2-4H,1H3"
210,CH2COHCH2OOH,OOCC(=C)O,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h4-5H,1-2H2"
211,CH2CQCOHQ,OOC(=C)C(OO)O,"InChI=1S/C3H6O5/c1-2(7-5)3(4)8-6/h3-6H,1H2"
212,CH3COCH3,CC(C)=O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
213,CHOCOHCH2OOH,C(=O)C(O)C(OO),"InChI=1S/C3H6O4/c4-1-3(5)2-7-6/h1,3,5-6H,2H2"
214,CHOCOHCH3,C(=O)C(O)C,"InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3"
215,CO(CH2OOH)2,OOCC(=O)COO,"InChI=1S/C3H6O5/c4-3(1-7-5)2-8-6/h5-6H,1-2H2"
216,COHOOHCY(COC),OC(C1CO1)OO,"InChI=1S/C3H6O4/c4-3(7-5)2-1-6-2/h2-5H,1H2"
217,CY(CCOC)OH,C1C(O)CO1,"InChI=1S/C3H6O2/c4-3-1-5-2-3/h3-4H,1-2H2"
218,CY(COC)COH,C1C(O1)C(O),"InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2"
219,IC3H5OH,C=C(C)O,"InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3"
220,IC3H5Q,CC(=C)OO,"InChI=1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3"
