name,smiles,inchi,charge,mult
O,[O],InChI=1S/O,0,3
O2,[O][O],InChI=1S/O2/c1-2,0,3
H,[H],InChI=1S/H,0,2
HO2,[O]O,InChI=1S/HO2/c1-2/h1H,0,2
OH,[OH],InChI=1S/HO/h1H,0,2
H2,[H][H],InChI=1S/H2/h1H,0,1
H2O,O,InChI=1S/H2O/h1H2,0,1
H2O2,OO,InChI=1S/H2O2/c1-2/h1-2H,0,1
CO,[C]=O,InChI=1S/CO/c1-2,0,1
HCO,[CH]=O,InChI=1S/CHO/c1-2/h1H,0,2
O2CHO,[O]OC=O,InChI=1S/CHO3/c2-1-4-3/h1H,0,2
CH2O,C=O,InChI=1S/CH2O/c1-2/h1H2,0,1
HO2CHO,O=COO,'InChI=1S/CH2O3/c2-1-4-3/h1,3H',0,1
CH3,[CH3],InChI=1S/CH3/h1H3,0,2
CH3O,C[O],InChI=1S/CH3O/c1-2/h1H3,0,2
CH3O2,CO[O],InChI=1S/CH3O2/c1-3-2/h1H3,0,2
CH3O2H,COO,'InChI=1S/CH4O2/c1-3-2/h2H,1H3',0,1
CH3OH,CO,'InChI=1S/CH4O/c1-2/h2H,1H3',0,1
CH4,C,InChI=1S/CH4/h1H4,0,1
C2H,C#[C],InChI=1S/C2H/c1-2/h1H,0,2
C2H2,C#C,InChI=1S/C2H2/c1-2/h1-2H,0,1
CH2CO,C=C=O,InChI=1S/C2H2O/c1-2-3/h1H2,0,1
CHOCHO,O=CC=O,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,0,1
C2H3,C=[CH],'InChI=1S/C2H3/c1-2/h1H,2H2',0,2
CH2CHO,[CH2]C=O,'InChI=1S/C2H3O/c1-2-3/h2H,1H2',0,2
CH3CO,C[C]=O,InChI=1S/C2H3O/c1-2-3/h1H3,0,2
CH3CO3,CC(=O)O[O],InChI=1S/C2H3O3/c1-2(3)5-4/h1H3,0,2
C2H4,C=C,InChI=1S/C2H4/c1-2/h1-2H2,0,1
CH3CHO,CC=O,'InChI=1S/C2H4O/c1-2-3/h2H,1H3',0,1
CH3CO3H,CC(=O)OO,'InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3',0,1
HO2CH2CHO,C(COO)=O,'InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2',0,1
C2H4O2H,[CH2]COO,'InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2',0,2
C2H5,[CH2]C,'InChI=1S/C2H5/c1-2/h1H2,2H3',0,2
C2H5O,CC[O],'InChI=1S/C2H5O/c1-2-3/h2H2,1H3',0,2
C2H5O2,CCO[O],'InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3',0,2
PC2H4OH,[CH2]CO,'InChI=1S/C2H5O/c1-2-3/h3H,1-2H2',0,2
